"Desenvolvedor","Data","Classificacao_ownership","Major","Minor","Total"
"Jerome Lodewyck","2012-04-01","Major",9,0,9
"Bastian Maerkisch","2012-05-01","Major",9,0,9
"Ethan A Merritt","2012-05-01","Major",9,0,9
"Bastian Maerkisch","2012-06-01","Major",9,0,9
"Ethan A Merritt","2012-06-01","Major",9,0,9
"Bastian Maerkisch","2012-07-01","Major",9,0,9
"Ethan A Merritt","2012-07-01","Major",9,0,9
"Ethan A Merritt","2012-08-01","Major",9,0,9
"Ethan A Merritt","2012-09-01","Major",9,0,9
"Bastian Maerkisch","2012-10-01","Major",9,0,9
"Ethan A Merritt","2012-10-01","Major",9,0,9
"Bastian Maerkisch","2012-11-01","Major",9,0,9
"Ethan A Merritt","2012-11-01","Major",9,0,9
"Ethan A Merritt","2012-12-01","Major",9,0,9
"Ethan A Merritt","2013-01-01","Major",9,0,9
"Ethan A Merritt","2013-02-01","Major",9,0,9
"Ethan A Merritt","2013-03-01","Major",9,0,9
"Bastian Maerkisch","2013-04-01","Major",9,0,9
"Ethan A Merritt","2013-04-01","Major",9,0,9
"Ethan A Merritt","2013-05-01","Major",9,0,9
"Bastian Maerkisch","2013-06-01","Major",9,0,9
"Ethan A Merritt","2013-06-01","Major",9,0,9
"Bastian Maerkisch","2013-07-01","Major",9,0,9
"Ethan A Merritt","2013-07-01","Major",9,0,9
"Ethan A Merritt","2013-08-01","Major",9,0,9
"Ethan A Merritt","2013-09-01","Major",9,0,9
"Ethan A Merritt","2013-10-01","Major",9,0,9
"Ethan A Merritt","2013-11-01","Major",9,0,9
"Bastian Maerkisch","2013-12-01","Major",9,0,9
"Ethan A Merritt","2013-12-01","Major",10,0,10
"Thomas Bleher","2013-12-01","Major",10,0,10
"Bastian Maerkisch","2014-01-01","Major",10,0,10
"Ethan A Merritt","2014-01-01","Major",10,0,10
"Jerome Lodewyck","2014-01-01","Major",10,0,10
"Bastian Maerkisch","2014-02-01","Major",10,0,10
"Ethan A Merritt","2014-02-01","Major",10,0,10
"Jerome Lodewyck","2014-02-01","Major",10,0,10
"Bastian Maerkisch","2014-03-01","Major",10,0,10
"Christoph Bersch","2014-03-01","Major",11,0,11
"Ethan A Merritt","2014-03-01","Major",11,0,11
"Jerome Lodewyck","2014-03-01","Major",11,0,11
"Bastian Maerkisch","2014-04-01","Major",11,0,11
"Ethan A Merritt","2014-04-01","Major",11,0,11
"Jerome Lodewyck","2014-04-01","Major",11,0,11
"Ethan A Merritt","2014-05-01","Major",11,0,11
"Bastian Maerkisch","2014-06-01","Major",11,0,11
"Ethan A Merritt","2014-06-01","Major",11,0,11
"Bastian Maerkisch","2014-07-01","Major",11,0,11
"Ethan A Merritt","2014-07-01","Major",11,0,11
"Ethan A Merritt","2014-08-01","Major",11,0,11
"Bastian Maerkisch","2014-09-01","Major",11,0,11
"Ethan A Merritt","2014-09-01","Major",11,0,11
"Bastian Maerkisch","2014-10-01","Major",11,0,11
"Ethan A Merritt","2014-10-01","Major",11,0,11
"Bastian Maerkisch","2014-11-01","Major",11,0,11
"Ethan A Merritt","2014-11-01","Major",11,0,11
"Bastian Maerkisch","2014-12-01","Major",11,0,11
"Ethan A Merritt","2014-12-01","Major",11,0,11
"Christoph Bersch","2015-01-01","Major",11,0,11
"Ethan A Merritt","2015-01-01","Major",11,0,11
"Ethan A Merritt","2015-02-01","Major",11,0,11
"Ethan A Merritt","2015-03-01","Major",11,0,11
"Ethan A Merritt","2015-04-01","Major",11,0,11
"Ethan A Merritt","2015-05-01","Major",11,0,11
"Ethan A Merritt","2015-06-01","Major",11,0,11
"Ethan A Merritt","2015-07-01","Major",11,0,11
"Ethan A Merritt","2015-08-01","Major",11,0,11
"Ethan A Merritt","2015-09-01","Major",11,0,11
"Ethan A Merritt","2015-10-01","Major",11,0,11
"Hans-Bernhard Broeker","2015-10-01","Major",11,0,11
"Ethan A Merritt","2015-11-01","Major",11,0,11
"Ethan A Merritt","2015-12-01","Major",11,0,11
"Ethan A Merritt","2016-01-01","Major",11,0,11
"Bastian Maerkisch","2016-02-01","Major",11,0,11
"Ethan A Merritt","2016-02-01","Major",11,0,11
"Bastian Maerkisch","2016-03-01","Major",11,0,11
"Ethan A Merritt","2016-03-01","Major",11,0,11
"Ethan A Merritt","2016-04-01","Major",11,0,11
"Bastian Maerkisch","2016-05-01","Major",11,0,11
"Daniel J Sebald","2016-05-01","Major",12,0,12
"Ethan A Merritt","2016-05-01","Major",12,0,12
"Bastian Maerkisch","2016-06-01","Major",12,0,12
"Ethan A Merritt","2016-06-01","Major",12,0,12
"Bastian Maerkisch","2016-07-01","Major",12,0,12
"Ethan A Merritt","2016-07-01","Major",12,0,12
"Bastian Maerkisch","2016-08-01","Major",12,0,12
"Ethan A Merritt","2016-08-01","Major",12,0,12
"Bastian Maerkisch","2016-09-01","Major",12,0,12
"Ethan A Merritt","2016-09-01","Major",12,0,12
"Bastian Maerkisch","2016-10-01","Major",12,0,12
"Ethan A Merritt","2016-10-01","Major",12,0,12
"Bastian Maerkisch","2016-11-01","Major",12,0,12
"Ethan A Merritt","2016-11-01","Major",12,0,12
"Bastian Maerkisch","2016-12-01","Major",12,0,12
"Ethan A Merritt","2016-12-01","Major",12,0,12
"Bastian Maerkisch","2017-01-01","Major",12,0,12
"Ethan A Merritt","2017-01-01","Major",12,0,12
"Bastian Maerkisch","2017-02-01","Major",12,0,12
"Ethan A Merritt","2017-02-01","Major",12,0,12
"Ethan A Merritt","2017-03-01","Major",12,0,12
"Bastian Maerkisch","2017-04-01","Major",12,0,12
"Ethan A Merritt","2017-04-01","Major",12,0,12
"Bastian Maerkisch","2017-05-01","Major",12,0,12
"Ethan A Merritt","2017-05-01","Major",12,0,12
"Bastian Maerkisch","2017-06-01","Major",12,0,12
"Ethan A Merritt","2017-06-01","Major",12,0,12
"Bastian Maerkisch","2017-07-01","Major",12,0,12
"Ethan A Merritt","2017-07-01","Major",12,0,12
"Bastian Maerkisch","2017-08-01","Major",12,0,12
"Ethan A Merritt","2017-08-01","Major",12,0,12
"Bastian Maerkisch","2017-09-01","Major",12,0,12
"Ethan A Merritt","2017-09-01","Major",12,0,12
"Bastian Maerkisch","2017-10-01","Major",12,0,12
"Ethan A Merritt","2017-10-01","Major",12,0,12
"Bastian Maerkisch","2017-11-01","Major",12,0,12
"Eric S. Raymond","2017-11-01","Major",13,0,13
"Ethan A Merritt","2017-11-01","Major",13,0,13
"Bastian Maerkisch","2017-12-01","Major",13,0,13
"Ethan A Merritt","2017-12-01","Major",13,0,13
"Ethan A Merritt","2018-01-01","Major",13,0,13
"Ethan A Merritt","2018-02-01","Major",13,0,13
"Bastian Maerkisch","2018-03-01","Major",13,0,13
"Ethan A Merritt","2018-03-01","Major",13,0,13
"Bastian Maerkisch","2018-04-01","Major",13,0,13
"Ethan A Merritt","2018-04-01","Major",13,0,13
"Bastian Maerkisch","2018-05-01","Major",13,0,13
"Ethan A Merritt","2018-05-01","Major",13,0,13
