"Desenvolvedor","Data","EhAutor","Variabilidades"
"Patrick Griffis","2020-12-01","Autor",1
"Pawel Forysiuk","2012-07-01","Autor",1
"Pierre-Luc Beaudoin","2009-04-01","Autor",1
"Rodrigo Moya","2003-11-01","Autor",1
"Rodrigo Moya","2003-12-01","Autor",2
"Rodrigo Moya","2004-01-01","Colaborador",1
"Rodrigo Moya","2004-02-01","Colaborador",1
"Ross Burton","2009-05-01","Autor",1
"Sergio Villar Senin","2010-12-01","Colaborador",1
"Sergio Villar Senin","2011-01-01","Autor",1
"Sergio Villar Senin","2011-02-01","Colaborador",1
"Sergio Villar Senin","2011-04-01","Colaborador",1
"Sergio Villar Senin","2011-05-01","Colaborador",1
"Sergio Villar Senin","2011-06-01","Colaborador",1
"Sergio Villar Senin","2011-07-01","Colaborador",1
"Sergio Villar Senin","2011-09-01","Autor",1
"Sergio Villar Senin","2011-10-01","Autor",1
"Sergio Villar Senin","2012-01-01","Colaborador",1
"Sergio Villar Senin","2012-04-01","Autor",2
"Sergio Villar Senin","2012-06-01","Colaborador",1
"Sergio Villar Senin","2012-07-01","Autor",1
"Sergio Villar Senin","2012-08-01","Colaborador",1
"Sergio Villar Senin","2012-09-01","Colaborador",1
"Sergio Villar Senin","2013-01-01","Autor",1
"Sergio Villar Senin","2013-02-01","Autor",1
"Sergio Villar Senin","2013-03-01","Autor",1
"Sergio Villar Senin","2013-04-01","Autor",1
"Simon Mcvittie","2012-03-01","Autor",1
"Tomas Popela","2017-10-01","Autor",1
"Xan Lopez","2008-03-01","Autor",1
"Xan Lopez","2009-02-01","Autor",1
"Xan Lopez","2009-09-01","Autor",1
"Xan Lopez","2010-01-01","Autor",1
"Xan Lopez","2011-05-01","Autor",1
"Xavier Claessens","2015-07-01","Autor",3
"Xavier Claessens","2015-08-01","Autor",2
