"Variabilidades","Desenvolvedor","Valor","Total"
"HAVE_SYS_MMAN_H",1,"2018-01-01",398
"ZERO_CKAID_FOR_CA_CERTS",1,"2018-01-01",398
"INVALIDATE_CARD_CACHE_IN_UNLOCK",1,"2018-04-01",398
"NDEBUG",4,"2018-05-01",398
"ENABLE_READLINE",2,"2018-07-01",398
"_WIN32",15,"2018-10-01",398
"ENABLE_OPENSSL",13,"2018-10-01",398
"ENABLE_ZLIB",5,"2018-10-01",398
"PAGESIZE",1,"2018-10-01",398
"!(_WIN32)",2,"2018-11-01",398
"(_WIN32)",3,"2018-11-01",398
"(ENABLE_OPENSSL) && (OPENSSL_SECURE_MALLOC_SIZE)",1,"2018-11-01",398
"ENABLE_SHARED",1,"2019-01-01",398
"(__APPLE__)",3,"2019-03-01",398
"(__APPLE__) || (_WIN32)",1,"2019-03-01",398
"defined(_WIN32)",3,"2019-03-01",398
"(EVP_PKEY_CTX_set_rsa_oaep_md)",1,"2019-04-01",398
"SC_ALGORITHM_DH",3,"2019-08-01",398
"(HAVE_SIGACTION) && (HAVE_PTHREAD)",1,"2020-01-01",398
"(ENABLE_SM) && (ENABLE_OPENPACE)",1,"2020-05-01",398
"HAVE_CONFIG_H",20,"2020-05-01",398
