"Variabilidades","Desenvolvedor","Valor","Total"
"(IFF_ONE_QUEUE) && (SIOCSIFTXQLEN)",2,"2011-03-01",699
"(IP_PMTUDISC_DONT) && (IP_PMTUDISC_WANT) && (IP_PMTUDISC_DO)",2,"2011-03-01",699
"(MEASURE_TLS_HANDSHAKE_STATS) && (USE_CRYPTO) && (USE_SSL)",2,"2011-03-01",699
"(PLUGIN_LIBDIR)",2,"2011-03-01",699
"(TARGET_LINUX)",3,"2011-03-01",699
"(USE_CRYPTO) && (DMALLOC)",2,"2011-03-01",699
"(USE_LIBDL)",2,"2011-03-01",699
"(USE_PTHREAD)",2,"2011-03-01",699
"(WIN32) && (USE_CRYPTO) && (USE_SSL)",2,"2011-03-01",699
"ABOVE_NORMAL_PRIORITY_CLASS",2,"2011-03-01",699
"AUTO_USERID || (ENABLE_PUSH_PEER_INFO)",1,"2011-03-01",699
"BELOW_NORMAL_PRIORITY_CLASS",2,"2011-03-01",699
"BUF_INIT_TRACKING",2,"2011-03-01",699
"BUFFER_LIST_AGGREGATE_TEST",1,"2011-03-01",699
"CHARACTER_CLASS_DEBUG",2,"2011-03-01",699
"CONFIG_FEATURE_IPROUTE",3,"2011-03-01",699
"CONNECT_NONBLOCK",2,"2011-03-01",699
"DDKVER_MAJOR",2,"2011-03-01",699
"defined (TARGET_SOLARIS)",3,"2011-03-01",699
"defined (WIN32)",3,"2011-03-01",699
"defined(HAVE_CHSIZE)",2,"2011-03-01",699
"defined(SO_PEERCRED)",2,"2011-03-01",699
"defined(TARGET_DRAGONFLY)",2,"2011-03-01",699
"defined(TARGET_FREEBSD)",2,"2011-03-01",699
"defined(TARGET_LINUX)",2,"2011-03-01",699
"defined(TARGET_OPENBSD) || defined(TARGET_NETBSD)",3,"2011-03-01",699
"defined(USE_CRYPTO)",2,"2011-03-01",699
"defined(USE_LOAD_LIBRARY)",2,"2011-03-01",699
"DO_DAEMONIZE",2,"2011-03-01",699
"DUP_CN",2,"2011-03-01",699
"ENABLE_BUFFER_LIST",2,"2011-03-01",699
"ENABLE_CONNECTION",2,"2011-03-01",699
