"Variabilidades","Desenvolvedor","Valor","Total"
"HAVE_CLOCK_GETTIME",1,"2011-05-01",253
"HAVE_RT",1,"2011-05-01",253
"HAVE_NTOHLL",1,"2011-06-01",253
"_PKI_CRYPTO_H",1,"2011-08-01",253
"(HAVE_LIBGCRYPT) || (HAVE_LIBCRYPTO)",1,"2011-08-01",253
"HAVE_OPENSSL_EC_H",1,"2011-08-01",253
"HAVE_OPENSSL_ECC",1,"2011-08-01",253
"HAVE_OPENSSL_ECDSA_H",1,"2011-08-01",253
"HAVE_ECDH",2,"2011-09-01",253
"WITH_LIBZ",1,"2011-09-01",253
"HAVE_GCRYPT_ECC",1,"2012-02-01",253
"BROKEN_AES_CTR",2,"2012-09-01",253
"HAVE_OPENSSL_AES_H",2,"2012-09-01",253
"HAVE_OPENSSL_BLOWFISH_H",2,"2012-09-01",253
"(HAVE_LIBCRYPTO) && (HAVE_ECC)",1,"2012-10-01",253
"(WITH_GSSAPI) && (WITH_SERVER)",1,"2013-07-01",253
"HAVE_TERMIOS_H",1,"2013-07-01",253
"HAVE_UNISTD_H",2,"2013-07-01",253
"WITH_GSSAPI",2,"2013-07-01",253
"HAVE_CURVE25519",1,"2013-09-01",253
"WITH_NACL",1,"2013-11-01",253
"(HAVE_LIBCRYPTO) && (HAVE_OPENSSL_ECC)",1,"2014-02-01",253
"HAVE_OPENSSL_ECC /* FIXME Better ECC check needed */",1,"2014-05-01",253
"__GNUC__",1,"2014-09-01",253
"!(HAVE_BCRYPT_PBKDF) && (!(HAVE_BLOWFISH_INITSTATE) || \",1,"2014-09-01",253
"HAVE_BCRYPT_PBKDF",1,"2014-09-01",253
"SHA512_DIGEST_LENGTH",1,"2014-09-01",253
"defined HAVE_LIBCRYPTO",4,"2014-10-01",253
"HAVE_LIBGCRYPT",4,"2014-10-01",253
"EINPROGRESS",1,"2014-12-01",253
"(_WIN32) && !(__WINPTHREADS_VERSION)",1,"2015-01-01",253
"HAVE_ARPA_INET_H",1,"2015-04-01",253
