"Desenvolvedor","Data","Classificacao_ownership","Major","Minor","Total"
"Andreas Schneider","2017-06-01","Major",13,0,13
"Aris Adamantiadis","2017-06-01","Major",13,0,13
"Andreas Schneider","2017-07-01","Major",13,0,13
"Jon Simons","2017-07-01","Major",13,0,13
"Andreas Schneider","2017-08-01","Major",13,0,13
"Jon Simons","2017-08-01","Major",13,0,13
"Jon Simons","2017-09-01","Major",13,0,13
"Andreas Schneider","2017-10-01","Major",13,0,13
"Jakub Jelen","2017-10-01","Major",14,0,14
"Andreas Schneider","2017-11-01","Major",14,0,14
"Jakub Jelen","2017-11-01","Major",14,0,14
"Jakub Jelen","2017-12-01","Major",14,0,14
"Juraj Vijtiuk","2017-12-01","Major",15,0,15
"Andreas Schneider","2018-01-01","Major",15,0,15
"Alex Gaynor","2018-02-01","Major",16,0,16
"Andreas Schneider","2018-02-01","Major",16,0,16
"Aris Adamantiadis","2018-02-01","Major",16,0,16
"Jon Simons","2018-02-01","Major",16,0,16
"Andreas Schneider","2018-03-01","Major",16,0,16
"Andreas Schneider","2018-04-01","Major",16,0,16
"Andreas Schneider","2018-05-01","Major",16,0,16
"Jon Simons","2018-05-01","Major",16,0,16
"Andreas Schneider","2018-06-01","Major",16,0,16
"Jakub Jelen","2018-06-01","Major",17,0,17
"Jon Simons","2018-06-01","Major",17,0,17
"Anderson Toshiyuki Sasaki","2018-07-01","Major",17,0,17
"Andreas Schneider","2018-07-01","Major",17,0,17
"Jakub Jelen","2018-07-01","Major",17,0,17
"Andreas Schneider","2018-08-01","Major",17,0,17
"Jakub Jelen","2018-08-01","Major",18,0,18
"Jan-Niklas Burfeind","2018-08-01","Major",18,0,18
"Anderson Toshiyuki Sasaki","2018-09-01","Major",18,0,18
"Andreas Schneider","2018-09-01","Major",18,0,18
"Jakub Jelen","2018-09-01","Major",18,0,18
"Anderson Toshiyuki Sasaki","2018-10-01","Major",18,0,18
"Andreas Schneider","2018-10-01","Major",19,0,19
"Aris Adamantiadis","2018-10-01","Major",19,0,19
"Jakub Jelen","2018-10-01","Major",19,0,19
"Simo Sorce","2018-10-01","Major",19,0,19
"Anderson Toshiyuki Sasaki","2018-11-01","Major",19,0,19
"Andreas Schneider","2018-11-01","Major",19,0,19
"Aris Adamantiadis","2018-11-01","Major",19,0,19
"Jakub Jelen","2018-11-01","Major",19,0,19
"Andreas Schneider","2018-12-01","Major",19,0,19
"Jakub Jelen","2018-12-01","Major",19,0,19
"Anderson Toshiyuki Sasaki","2019-01-01","Major",19,0,19
"Andreas Schneider","2019-01-01","Major",19,0,19
"Jakub Jelen","2019-01-01","Major",19,0,19
"Anderson Toshiyuki Sasaki","2019-02-01","Major",19,0,19
"Andreas Schneider","2019-02-01","Major",20,0,20
"Jakub Jelen","2019-02-01","Major",20,0,20
"Jon Simons","2019-02-01","Major",20,0,20
"Till Wimmer","2019-02-01","Major",20,0,20
"Anderson Toshiyuki Sasaki","2019-03-01","Major",20,0,20
"Andreas Schneider","2019-03-01","Major",21,0,21
"Ben Toews","2019-03-01","Major",21,0,21
"Simo Sorce","2019-03-01","Major",21,0,21
"Anderson Toshiyuki Sasaki","2019-04-01","Major",21,0,21
"Andreas Schneider","2019-04-01","Major",21,0,21
"Jon Simons","2019-04-01","Major",21,0,21
"Anderson Toshiyuki Sasaki","2019-05-01","Major",21,0,21
"Andreas Schneider","2019-05-01","Major",21,0,21
"Jakub Jelen","2019-05-01","Major",21,0,21
"Anderson Toshiyuki Sasaki","2019-06-01","Major",21,0,21
"Andreas Schneider","2019-06-01","Major",21,0,21
"Jakub Jelen","2019-06-01","Major",21,0,21
"Anderson Toshiyuki Sasaki","2019-07-01","Major",21,0,21
"Andreas Schneider","2019-07-01","Major",21,0,21
"Anderson Toshiyuki Sasaki","2019-08-01","Major",21,0,21
"Andreas Schneider","2019-08-01","Major",21,0,21
"Anderson Toshiyuki Sasaki","2019-09-01","Major",21,0,21
"Aris Adamantiadis","2019-09-01","Major",21,0,21
"Jakub Jelen","2019-09-01","Major",21,0,21
"Anderson Toshiyuki Sasaki","2019-10-01","Major",21,0,21
"Andreas Schneider","2019-10-01","Major",21,0,21
"Aris Adamantiadis","2019-10-01","Major",21,0,21
"Jakub Jelen","2019-10-01","Major",21,0,21
"Anderson Toshiyuki Sasaki","2019-11-01","Major",21,0,21
"Andreas Schneider","2019-11-01","Major",21,0,21
"Jakub Jelen","2019-11-01","Major",21,0,21
"Andreas Schneider","2019-12-01","Major",21,0,21
"Jakub Jelen","2019-12-01","Major",22,0,22
"Sahana Prasad","2019-12-01","Major",22,0,22
"Anderson Toshiyuki Sasaki","2020-01-01","Major",22,0,22
"Andreas Schneider","2020-01-01","Major",22,0,22
"Jakub Jelen","2020-01-01","Major",22,0,22
"Sahana Prasad","2020-01-01","Major",22,0,22
"Andreas Schneider","2020-02-01","Major",22,0,22
"Anderson Toshiyuki Sasaki","2020-04-01","Major",22,0,22
"Jakub Jelen","2020-04-01","Major",22,0,22
"Jakub Jelen","2020-05-01","Major",22,0,22
"Sahana Prasad","2020-05-01","Major",22,0,22
"Anderson Toshiyuki Sasaki","2020-06-01","Major",22,0,22
"Andreas Schneider","2020-06-01","Major",22,0,22
"Anderson Toshiyuki Sasaki","2020-07-01","Major",22,0,22
"Dirkjan Bussink","2020-10-01","Major",23,0,23
"Jakub Jelen","2020-11-01","Major",23,0,23
"Dirkjan Bussink","2020-12-01","Major",23,0,23
"Andreas Schneider","2021-01-01","Major",23,0,23
"Jakub Jelen","2021-01-01","Major",NA,NA,NA
